Código,Nome,Turma,Ano-Período,Docente,Horário,Qtde Vagas Ofertadas,Qtde Vagas Ocupadas,Local
ENE0078,LABORATÓRIO DE CONTROLE DE SISTEMAS DINÂMICOS,D,2021.1,MARCO ANTONIO FREITAS DO EGITO COELHO (30h),3T45,16,4,SG-11 AT -39/12
ENE0038,LABORATÓRIO DE CIRCUITOS ELÉTRICOS 2,A,2021.1,JOSE ALFREDO RUIZ VARGAS (30h),5T23,20,13,A Definir
ENE0282,LABORATÓRIO DE CIRCUITOS ELÉTRICOS,E,2021.1,ADONIRAN JUDSON DE BARROS BRAGA (30h),5M12,20,6,A Definir
ENE0299,TRABALHO DE CONCLUSÃO DE CURSO 2,53,2021.1,LEONARDO RODRIGUES ARAUJO XAVIER DE MENEZES (150h),23456N3,1,1,A definir
ENE0024,PROJETO TRANSVERSAL EM REDES DE COMUNICAÇÃO 2,A,2021.1,ALEXANDRE SOLON NERY (60h),35T6 35N1,40,19,A definir
ENE0342,PROJETO FINAL DE GRADUAÇÃO 1,D,2021.1,PAULO ROBERTO DE LIRA GONDIM (30h),2M5 2T1,2,1,Remoto
ENE0209,PROCESSAMENTO DIGITAL DE IMAGENS,A,2021.1,MYLENE CHRISTINE QUEIROZ DE FARIAS (60h),35T45,35,15,A Definir
ENE0068,SINAIS E SISTEMAS EM TEMPO DISCRETO,C,2021.1,JOAO PAULO LEITE (60h),24T23,30,21,FT BT-34/15
ENE0309,TRABALHO DE CONCLUSÃO DE CURSO 1,55,2021.1,PABLO EDUARDO CUERVO FRANCO (30h),7T23,10,3,virtual
ENE0299,TRABALHO DE CONCLUSÃO DE CURSO 2,59,2021.1,ANESIO DE LELES FERREIRA FILHO (150h),23456N3,10,1,virtual
ENE0334,COMPUTACAO PARA ENGENHARIA,B,2021.1,VINICIUS PEREIRA GONCALVES (60h),24M34,35,21,Remoto
ENE0274,FUNDAMENTOS DE REDES,A,2021.1,MAX EDUARDO VIZCARRA MELGAR (60h),24T23,30,14,FT BT 43/15
ENE0058,LABORATÓRIO DE SISTEMAS MICROPROCESSADOS,B,2021.1,EDSON MINTSU HUNG (30h),3M12,20,13,A definir
ENE0026,INTRODUÇÃO A ENGENHARIA DE REDES DE COMUNICACÃO,A,2021.1,DANIEL GUERREIRO E SILVA (30h),2T23,50,42,FT BT-25/15
ENE0299,TRABALHO DE CONCLUSÃO DE CURSO 2,48,2021.1,RICARDO ZELENOVSKY (150h),23456N3,1,4,A definir
ENE0091,SISTEMAS OPERACIONAIS DE REDES,A,2021.1,ALEXANDRE SOLON NERY (60h),35M12,30,11,FT LAB.REDES
ENE0049,MATERIAIS ELÉTRICOS E MAGNÉTICOS,A,2021.1,ARTEMIS MARTI CESCHIN (60h),2M34 4M34,50,0,FT BT 52/15
ENE0251,TRANSMISSAO DE ENERGIA ELETRICA,A,2021.1,FRANCISCO DAMASCENO FREITAS (60h),46M34,40,18,A Definir
ENE0050,LABORATÓRIO DE MATERIAIS ELÉTRICOS E MAGNÉTICOS,B,2021.1,JOSE CAMARGO DA COSTA (30h),6M12,20,20,SG-11 A1 29/15
ENE0066,INTRODUÇÃO AOS CIRCUITOS ELÉTRICOS,C,2021.1,HUMBERTO ABDALLA JUNIOR (30h),2T23,40,20,FT BT 52/15
ENE0021,TÓPICOS EM REDES DE COMUNICAÇÃO 3,B,2021.1,RAFAEL RABELO NUNES (30h),6N12,25,17,Remoto
ENE0002,LABORATÓRIO DE ELETRICIDADE BÁSICA,B,2021.1,ALCIDES LEANDRO DA SILVA (30h),2T45,15,13,SG-11 AT-49/14
ENE0090,SEGURANÇA DE REDES,A,2021.1,RAFAEL TIMOTEO DE SOUSA JUNIOR (60h),35T45,30,18,FT LAB.REDES
ENE0064,REDES SEM FIO,A,2021.1,PAULO ROBERTO DE LIRA GONDIM (60h),24T23,30,6,a definir
ENE0299,TRABALHO DE CONCLUSÃO DE CURSO 2,51,2021.1,RAFAEL AMARAL SHAYANI (150h),23456N3,2,2,A definir
ENE0299,TRABALHO DE CONCLUSÃO DE CURSO 2,55,2021.1,ALEX DA ROSA (150h),23456N3,1,0,A definir
ENE0354,PROJETO FINAL DE GRADUAÇÃO 1,A,2021.1,ALCIDES LEANDRO DA SILVA (30h),7N34,4,1,virtual
ENE0342,PROJETO FINAL DE GRADUAÇÃO 1,M,2021.1,FRANCISCO ASSIS DE OLIVEIRA NASCIMENTO (30h),7N34,2,1,Remoto
ENE0077,CONTROLE DE SISTEMAS DINÂMICOS,B,2021.1,HENRIQUE CEZAR FERREIRA (60h),35T23,30,16,FT BT-25/15
ENE0058,LABORATÓRIO DE SISTEMAS MICROPROCESSADOS,E,2021.1,RICARDO ZELENOVSKY (30h),2T45,21,15,A definir
ENE0017,AVALIAÇÃO DE DESEMPENHO DE REDES E SISTEMAS,A,2021.1,WILLIAM FERREIRA GIOZZA (30h),46M34,30,22,FT LAB.REDES
ENE0309,TRABALHO DE CONCLUSÃO DE CURSO 1,54,2021.1,MARCO ANTONIO BRASIL TERADA (30h),7T23,10,1,virtual
ENE0309,TRABALHO DE CONCLUSÃO DE CURSO 1,53,2021.1,JONES YUDI MORI ALVES DA SILVA (30h),7T23,10,1,virtual
ENE0282,LABORATÓRIO DE CIRCUITOS ELÉTRICOS,C,2021.1,ADONIRAN JUDSON DE BARROS BRAGA (30h),3M12,20,13,A Definir
ENE0342,PROJETO FINAL DE GRADUAÇÃO 1,F,2021.1,GEORGES DANIEL AMVAME NZE (15h),3M5 3T1,1,1,REMOTO
ENE0037,CIRCUITOS ELÉTRICOS 2,A,2021.1,ALEX DA ROSA (60h),35M34,60,50,FT BT-52/15
ENE0058,LABORATÓRIO DE SISTEMAS MICROPROCESSADOS,D,2021.1,EDSON MINTSU HUNG (30h),5M12,20,11,A definir
ENE0332,TOPICOS EM ENGENHARIA,B,2021.1,RENATO ALVES BORGES (60h),35M12,40,3,A definir
ENE0046,LABORATÓRIO DE ELETRÔNICA,B,2021.1,ADSON FERREIRA DA ROCHA (30h),2M34,20,20,A Definir
ENE0046,LABORATÓRIO DE ELETRÔNICA,A,2021.1,ADSON FERREIRA DA ROCHA (30h),2M12,20,23,A Definir
ENE0177,ELETROMAGNETISMO 1,A,2021.1,ACHILES FONTANA DA MOTA (60h),35T45,60,43,FT BT 43/15
ENE0067,SINAIS E SISTEMAS EM TEMPO CONTÍNUO,B,2021.1,JOAO LUIZ AZEVEDO DE CARVALHO (60h),24T45,60,56,FT BT-13/15
ENE0042,CIRCUITOS ELÉTRICOS 1,A,2021.1,DANIEL ORQUIZA DE CARVALHO (60h),24T45,40,24,FT BT-43/15
ENE0309,TRABALHO DE CONCLUSÃO DE CURSO 1,48,2021.1,GERSON HENRIQUE PFITSCHER (30h),7T23,2,4,A definir
ENE0045,ELETRÔNICA,B,2021.1,GEOVANY ARAUJO BORGES (60h),24T23,70,46,FT BT-13/15
ENE0299,TRABALHO DE CONCLUSÃO DE CURSO 2,60,2021.1,DIBIO LEANDRO BORGES (150h),23456N3,10,1,virtual
ENE0039,SISTEMAS DIGITAIS,A,2021.1,EDSON MINTSU HUNG (60h),35T45,60,7,SG-11 A1 57/12
ENE0063,ESTÁGIO SUPERVISIONADO EM ENGENHARIA DE REDES DE COMUNICAÇÃO,H,2021.1,RAFAEL TIMOTEO DE SOUSA JUNIOR (180h),7M1234 7T2345 6N123,4,1,Remoto
ENE0202,SISTEMAS DE COMUNICACOES 1,A,2021.1,MARCO ANTONIO BRASIL TERADA (60h),3T45 5T45,50,13,FT BT-34/15
ENE0088,SISTEMAS DE INFORMAÇÃO DISTRIBUÍDOS,A,2021.1,RICARDO STACIARINI PUTTINI (60h),24T6 24N1,30,14,FT LAB.REDES
ENE0074,LABORATÓRIO DE CONVERSÃO DE ENERGIA,C,2021.1,GERSON HENRIQUE PFITSCHER (30h),5T45,10,10,SG-11 AT-47/14
ENE0344,COMUNICAÇÕES MÓVEIS,A,2021.1,PAULO HENRIQUE PORTELA DE CARVALHO (60h),35T23,20,3,A definir
ENE0342,PROJETO FINAL DE GRADUAÇÃO 1,H,2021.1,JOAO JOSE COSTA GONDIM (30h),7N34,1,1,Remoto
ENE0002,LABORATÓRIO DE ELETRICIDADE BÁSICA,D,2021.1,ALCIDES LEANDRO DA SILVA (30h),3T45,15,11,SG-11 AT-49/14
