Código,Nome,Turma,Ano-Período,Docente,Horário,Qtde Vagas Ofertadas,Qtde Vagas Ocupadas,Local
ENM0084,SISTEMAS HIDRAULICOS E PNEUMATICOS,C,2021.1,AIDA ALVES FADEL (60h),3M34 5T23,21,13,ENM A1 11/85 E ENM DT 25/15
ENM0133,INTRODUCAO A ENGENHARIA MECATRONICA,A,2021.1,GUILHERME NOVAES RAMOS (10h),6M12 ,42,31,FT BT-34/15
ENM0070,MAQUINAS TERMICAS,A,2021.1,CARLOS ALBERTO GURGEL VERAS (75h),35T45 6T5,20,18,ENM DT 16/15
ENM0073,INSTALACOES TERMOMECANICAS 2,A,2021.1,JOAO MANOEL DIAS PIMENTA (60h),46T45,40,39,DT 52/15
DPG0248,COMPORTAMENTO MECÂNICO DOS SÓLIDOS,A,2021.1,EDGAR NOBUO MAMIYA (60h),46T45,2,0,a definir
ENM0070,MAQUINAS TERMICAS,B,2021.1,CARLOS ALBERTO GURGEL VERAS (75h),35T45 6T5,20,11,ENM DT 16/15
ENM0131,DESENHO MECANICO ASSISTIDO POR COMPUTADOR 1,04,2021.1,ALINE SOUZA DE PAULA (30h),246T6 246N1,8,7,a designar
ENM0123,PROJETO DE MAQUINAS 2,A,2021.1,DIANNE MAGALHAES VIANA (60h),3M34 5M34,40,25,ENM DT 34/15
ENM0129,PROJETO DE GRADUACAO 1,13,2021.1,BRAULIO GUTIERREZ PIMENTA (30h),6N12 ,4,1,a definir
ENM0080,FENOMENOS DE TRANSPORTE,E,2021.1,ARTUR ELIAS DE MORAIS BERTOLDI (15h),35T23 6T3,31,30,REMOTO FGA
ENM0068,TERMODINAMICA 1,B,2021.1,MANUEL NASCIMENTO DIAS BARCELOS JUNIOR (60h),35M34,120,86,REMOTO FGA
ENM0178,SISTEMAS RECONFIGURÁVEIS PARA AUTOMAÇÃO,01A,2021.1,JONES YUDI MORI ALVES DA SILVA (60h),35T45,20,12,a definir
ENM0004,MECÂNICA DOS FLUÍDOS MAGNÉTICOS,01,2021.1,RAFAEL GABLER GONTIJO (60h),35T6 35N1,20,2,a definir
ENM0129,PROJETO DE GRADUACAO 1,02,2021.1,ADRIANO TODOROVIC FABRO (30h),6N12 ,4,1,a definir
ENM0109,VIBRACOES 1,A,2021.1,MARCUS VINICIUS GIRAO DE MORAIS (60h),3M34 5M34 4T23,28,22,ENM DT 11/15 E FT ET-70/14 LCC
ENM0129,PROJETO DE GRADUACAO 1,18,2021.1,DEBORAH DE OLIVEIRA (30h),6N12 ,4,3,a designar
ENM0140,MECANICA DOS FLUIDOS 1,A,2021.1,JOSE LUIZ ALVES DA FONTOURA RODRIGUES (75h),4M12 6M12 5T45,15,14,DT 52/15 E SG 09
